FID,geom,longitud,latitud,profundida,magnitud__,fecha,hora_utc,clasif
sis_igp_2017.204,POINT (-72.8233 -15.3181),-72.8233,-15.3181,17,3.8,08/08/2017,11:31:51,Superficial
sis_igp_2017.205,POINT (-74.1948 -16.2952),-74.1948,-16.2952,32,4.3,10/08/2017,19:31:24,Superficial
sis_igp_2017.206,POINT (-81.1696 -5.4819),-81.1696,-5.4819,39,4.3,11/08/2017,20:17:52,Superficial
sis_igp_2017.207,POINT (-73.5614 -16.4387),-73.5614,-16.4387,30,6,11/08/2017,21:45:08,Superficial
sis_igp_2017.208,POINT (-75.6534 -8.8584),-75.6534,-8.8584,139,5.3,12/08/2017,02:45:48,Intermedio
sis_igp_2017.209,POINT (-76.4816 -13.7946),-76.4816,-13.7946,46,4.7,12/08/2017,06:30:43,Superficial
sis_igp_2017.210,POINT (-72.1727 -17.0004),-72.1727,-17.0004,59,3.9,12/08/2017,19:09:22,Superficial
sis_igp_2017.211,POINT (-73.6502 -14.5945),-73.6502,-14.5945,19,3.5,12/08/2017,21:18:07,Superficial
sis_igp_2017.212,POINT (-74.6959 -10.7489),-74.6959,-10.7489,37,6.1,13/08/2017,16:51:24,Superficial
sis_igp_2017.213,POINT (-72.4299 -17.027),-72.4299,-17.027,24,3.7,14/08/2017,03:08:37,Superficial
sis_igp_2017.214,POINT (-74.7095 -10.807),-74.7095,-10.807,27,4.1,14/08/2017,03:22:23,Superficial
sis_igp_2017.215,POINT (-75.3749 -10.8357),-75.3749,-10.8357,8,4.7,14/08/2017,06:25:12,Superficial
sis_igp_2017.216,POINT (-75.3701 -10.8527),-75.3701,-10.8527,6,4.4,14/08/2017,08:13:30,Superficial
sis_igp_2017.217,POINT (-76.5657 -13.3258),-76.5657,-13.3258,60,3.9,16/08/2017,10:29:51,Superficial
sis_igp_2017.218,POINT (-79.3261 -10.9758),-79.3261,-10.9758,31,5.1,19/08/2017,03:22:20,Superficial
sis_igp_2017.219,POINT (-75.8971 -13.8312),-75.8971,-13.8312,84,5.3,20/08/2017,17:42:14,Intermedio
sis_igp_2017.220,POINT (-71.8794 -16.3607),-71.8794,-16.3607,14,3.5,20/08/2017,21:51:21,Superficial
sis_igp_2017.221,POINT (-75.1962 -10.6482),-75.1962,-10.6482,37,3.9,20/08/2017,23:45:55,Superficial
